,Traditional Portfolio,Bitcoin Portfolio,Ethereum Portfolio,Alpha Portfolio
2016-11-22,1.1059552090383382,1.1787671512092095,1.5141370794376403,1.4267948885242603
2016-11-23,1.0976346302837963,1.1686830588215025,1.5015956260927765,1.419804481237349
2016-11-25,1.0971611287062113,1.167750145932054,1.4942549389660837,1.4142044228791486
2016-11-28,1.0995409176459614,1.169026093507037,1.486300341583022,1.408638249048457
2016-11-29,1.0985781188377846,1.1679550569267394,1.4755994922065276,1.4015095265666584
2016-11-30,1.0907837984124649,1.1618863345925254,1.473371920235705,1.3995942725622799
2016-12-01,1.0870272339926181,1.1606046226432354,1.4672398720006294,1.3922049872131947
2016-12-02,1.0898914508147708,1.1666392369162053,1.4587428358994874,1.389382126743334
2016-12-05,1.090433423227949,1.1647615493523555,1.442365024051358,1.372638418124254
2016-12-06,1.091879676593953,1.1669947580772375,1.4662236921564018,1.3915709180366245
2016-12-07,1.1009140209031252,1.1768997966078363,1.4874690786998823,1.4075476826073372
2016-12-08,1.1010502207393171,1.1776565624068982,1.4852276827835509,1.4039243248898612
2016-12-09,1.099344627234404,1.1765765728668565,1.4873721250833865,1.4033137253546866
2016-12-12,1.1001594067389198,1.1788021062570948,1.4901237927395872,1.405252853019027
2016-12-13,1.1025957660440002,1.1812323530436217,1.4913689412957272,1.4069445928215842
2016-12-14,1.091489735295401,1.1695670745588633,1.4736733158264346,1.395945651270578
2016-12-15,1.0886394134137374,1.165061868802538,1.4608491781601194,1.3913612821357633
2016-12-16,1.0870517607850267,1.1646194303950028,1.459569131156669,1.390414473020431
2016-12-19,1.0910932616908868,1.1693738706797143,1.4600938867112385,1.3945293487628572
2016-12-20,1.0897899419689185,1.1693873855880133,1.4589172395707923,1.3938053250431781
2016-12-21,1.0886144077256388,1.1728983398386064,1.4620567353911536,1.4016154799931277
2016-12-22,1.0864221863394936,1.1750083046026008,1.4532989373880343,1.397842214035941
2016-12-23,1.0886593868447112,1.1851611234474229,1.4481747371217724,1.4001254037275697
2016-12-27,1.0923817977868386,1.1908400005015791,1.4534468583822562,1.4029016107790693
2016-12-28,1.089601741211761,1.1926873114353687,1.4561271998082543,1.4134602359109214
2016-12-29,1.0950926797547254,1.1985251501081957,1.4784105562030667,1.4283427926698096
2016-12-30,1.090318844277198,1.1918697131401317,1.4698464937970293,1.4221135884430969
2017-01-03,1.0985811598073616,1.2104112719561015,1.508276636298274,1.4608300227536608
2017-01-04,1.10334012048309,1.2285795691360044,1.5385650253222467,1.4936782103020712
2017-01-05,1.109978913527947,1.2206771573455693,1.533866343529513,1.4776406828909983
2017-01-06,1.108564296764132,1.2058688407762055,1.532091357529385,1.4638169105877983
2017-01-09,1.1106728334394635,1.2079334101535208,1.5356672482403917,1.468000042845851
2017-01-10,1.1125726545031862,1.2106408921820286,1.5416156077222634,1.4722921719603799
2017-01-11,1.1155832600199962,1.1965208145245358,1.5335457180618057,1.4509794488095198
2017-01-12,1.1154362532968694,1.2009137138161132,1.536102713935744,1.4546062003245852
2017-01-13,1.1175326269099972,1.2064145990373851,1.5380535556354331,1.4555858617894855
2017-01-17,1.122098285607283,1.223510528290889,1.552566287475968,1.4769365911899015
2017-01-18,1.1191582936175015,1.21784949498212,1.5479057346692613,1.4688219175661046
2017-01-19,1.1164337545922343,1.216880434120489,1.5470633288756224,1.4685499458768914
2017-01-20,1.1192364336509244,1.2197556499227933,1.5544415861292382,1.470962170336876
2017-01-23,1.1208974853808402,1.2248482439913155,1.5596473374002262,1.4795166489464957
2017-01-24,1.1221996989639327,1.2228077338863226,1.559131603523926,1.473492363140937
2017-01-25,1.1224737267413802,1.2252816205243227,1.5598301807186816,1.4696996423198834
2017-01-26,1.1181091978032203,1.2222772437743274,1.5535040621075353,1.470556033379252
2017-01-27,1.1184250243484108,1.2225989655543652,1.5527866484556248,1.4718000592103753
2017-01-30,1.1166252012902815,1.2209602774961248,1.5510982511662732,1.4697476050617262
2017-01-31,1.122645252452332,1.2343129159106585,1.5619247851469527,1.4815529172992765
2017-02-01,1.1211130091938108,1.2354298952367642,1.560408204148008,1.4801840578949954
2017-02-02,1.1240684053255012,1.2414275545031914,1.565688344635405,1.4857823955208604
2017-02-03,1.1290557196577666,1.2491712196532256,1.5768929554081057,1.4942673339498385
2017-02-06,1.1345162874957648,1.255809219751973,1.5879110219561943,1.5036394976692837
2017-02-07,1.134231428931205,1.257618810902462,1.588405894658515,1.5101686355833517
2017-02-08,1.1385767490314438,1.2617730015150237,1.5922352737615646,1.516842916546152
2017-02-09,1.1380394874853617,1.2535199821322465,1.586550881569486,1.5025069147238852
2017-02-10,1.1415399136440636,1.256598834491132,1.5949064043077572,1.5071130572271711
2017-02-13,1.1414511443258137,1.2568492360675325,1.5947738221862517,1.5066074009913306
2017-02-14,1.1439910196950933,1.2616840765173891,1.6235149614381144,1.5268619784687418
2017-02-15,1.148709229797634,1.267589627664047,1.6293256007570847,1.5278496938666761
2017-02-16,1.1505787059140549,1.2722811253828796,1.6319261646370384,1.5314325171571508
2017-02-17,1.1505600915707122,1.2738842209233552,1.6281277075689657,1.5341961248492166
2017-02-21,1.1543986990574455,1.2863929745156515,1.633258975334938,1.5441739901269087
2017-02-22,1.1545869293732287,1.2867678245421736,1.632535825516212,1.5442865803628512
2017-02-23,1.1590254239101696,1.2973744695532738,1.6455266913289632,1.5575989654266524
2017-02-24,1.1633895402131733,1.3022874452601434,1.6501467863250392,1.5645404047728282
2017-02-27,1.1617235719115522,1.301478975221023,1.6776230423949667,1.5844368602008434
2017-02-28,1.1607946081469405,1.300203257942286,1.6805626294570843,1.588425620919392
2017-03-01,1.1675532793749672,1.3132478776439782,1.7076486755166544,1.6047422140981695
2017-03-02,1.158102388590899,1.3056456568040786,1.7103212438956887,1.6126857352080775
2017-03-03,1.1579679727502512,1.308248423584218,1.714306099863994,1.617284502871563
2017-03-06,1.1529103861407668,1.3025608098910721,1.7084359827829938,1.6129783800025341
2017-03-07,1.1473963194406511,1.2913753424299486,1.694132208187829,1.5992188983588647
2017-03-08,1.1433135503951652,1.2792025964016664,1.6682789687074293,1.573084330191985
2017-03-09,1.1411140255903771,1.2816714057687266,1.6769698907130235,1.5805127373419858
