,BTC,ETH,SPY,TLT,GLD,USD,XLE,XLF
2017-07-31,2875.340088,203.871002,246.77000427246094,120.75,124.04000091552734,92.86000061035156,66.62000274658203,25.09000015258789
2017-08-01,2718.26001,226.768997,247.32000732421875,120.6500015258789,124.63999938964844,93.02999877929688,66.61000061035156,25.270000457763672
2017-08-02,2710.669922,219.951996,247.44000244140625,120.4000015258789,124.70999908447266,92.83000183105469,66.36000061035156,25.309999465942383
2017-08-03,2804.72998,225.34199500000003,246.9600067138672,120.58999633789062,126.0,92.80999755859375,65.43000030517578,25.219999313354492
2017-08-04,2895.889893,223.07299799999998,247.41000366210938,119.6500015258789,124.93000030517578,93.54000091552734,65.63999938964844,25.389999389648438
2017-08-07,3378.9399409999996,269.179993,247.8699951171875,119.51000213623047,125.06999969482422,93.43000030517578,65.13999938964844,25.350000381469727
2017-08-08,3419.9399409999996,296.76901200000003,247.25999450683594,119.86000061035156,124.62000274658203,93.63999938964844,64.98999786376953,25.280000686645508
2017-08-09,3342.469971,296.027008,247.25,121.30999755859375,125.30000305175781,93.5199966430664,65.05000305175781,25.280000686645508
2017-08-10,3381.280029,295.891998,243.75999450683594,122.20999908447266,126.37000274658203,93.4000015258789,64.36000061035156,24.829999923706055
2017-08-11,3650.6201170000004,308.864014,244.1199951171875,122.79000091552734,126.43000030517578,93.06999969482422,63.939998626708984,24.729999542236328
2017-08-14,4325.129883,300.096985,246.5399932861328,121.91999816894531,125.77999877929688,93.45999908447266,63.75,25.06999969482422
2017-08-15,4181.930176,289.817993,246.50999450683594,120.9800033569336,125.25,93.8499984741211,63.5099983215332,25.09000015258789
2017-08-16,4376.629883,302.266998,246.94000244140625,121.87000274658203,125.70999908447266,93.48999786376953,62.900001525878906,25.040000915527344
2017-08-17,4331.689941,301.457001,243.08999633789062,122.48999786376953,126.6500015258789,93.62000274658203,62.0099983215332,24.610000610351562
2017-08-18,4160.620117,295.589996,242.7100067138672,122.30000305175781,126.62000274658203,93.43000030517578,62.31999969482422,24.6200008392334
2017-08-21,4001.73999,321.591003,242.89999389648438,122.76000213623047,126.93000030517578,93.0999984741211,62.0,24.549999237060547
2017-08-22,4100.52002,314.785004,245.44000244140625,122.20999908447266,126.44000244140625,93.55000305175781,62.40999984741211,24.81999969482422
2017-08-23,4151.52002,317.51901200000003,244.55999755859375,122.66999816894531,127.30000305175781,93.1500015258789,62.68000030517578,24.739999771118164
2017-08-24,4334.680176,325.610992,243.99000549316406,122.29000091552734,126.83000183105469,93.27999877929688,62.720001220703125,24.739999771118164
2017-08-25,4371.600098,331.915009,244.55999755859375,122.73999786376953,127.31999969482422,92.73999786376953,63.0,24.809999465942383
2017-08-28,4382.660156,347.747009,244.57000732421875,124.69000244140625,127.23999786376953,92.20999908447266,62.720001220703125,24.649999618530273
2017-08-29,4579.02002,370.666992,244.85000610351562,124.41999816894531,127.6500015258789,92.3499984741211,62.63999938964844,24.56999969482422
2017-08-30,4565.299805,378.484985,246.00999450683594,124.36000061035156,127.61000061035156,92.87999725341797,62.66999816894531,24.670000076293945
2017-08-31,4703.390136999999,383.041992,247.49000549316406,125.81999969482422,127.98999786376953,92.66999816894531,62.970001220703125,24.700000762939453
2017-09-01,4892.009765999999,387.740997,247.83999633789062,126.05999755859375,126.75,92.80999755859375,63.58000183105469,24.770000457763672
2017-09-05,4376.529785,312.988007,246.05999755859375,127.45999908447266,128.75999450683594,92.30999755859375,63.93000030517578,24.239999771118164
2017-09-06,4597.120117,334.338013,246.89999389648438,126.80999755859375,127.97000122070312,92.29000091552734,64.97000122070312,24.299999237060547
2017-09-07,4599.879883,329.428009,246.8699951171875,128.1300048828125,129.27999877929688,91.52999877929688,65.08999633789062,23.8799991607666
2017-09-08,4228.75,296.497009,246.5800018310547,127.97000122070312,129.0,91.33000183105469,64.4000015258789,24.100000381469727
2017-09-11,4161.27002,294.532013,249.2100067138672,126.19000244140625,127.45999908447266,91.86000061035156,65.01000213623047,24.520000457763672
2017-09-12,4130.810059,291.463989,250.0500030517578,126.55999755859375,126.79000091552734,91.91000366210938,65.41000366210938,24.809999465942383
2017-09-13,3882.5900880000004,277.112,250.1699981689453,125.61000061035156,126.29000091552734,92.5199966430664,66.2300033569336,24.850000381469727
2017-09-14,3154.949951,213.90800499999997,250.08999633789062,126.16000366210938,126.80999755859375,92.12000274658203,66.55000305175781,24.799999237060547
2017-09-15,3637.5200200000004,250.464005,249.19000244140625,125.52999877929688,126.86000061035156,91.87000274658203,65.83999633789062,24.770000457763672
2017-09-18,4065.1999509999996,293.497009,249.72000122070312,124.36000061035156,126.12999725341797,92.05000305175781,66.12000274658203,25.059999465942383
2017-09-19,3924.969971,282.803986,249.97000122070312,124.62000274658203,125.81999969482422,91.79000091552734,66.38999938964844,25.25
2017-09-20,3905.9499509999996,283.742004,250.05999755859375,123.62000274658203,125.91000366210938,92.51000213623047,66.83999633789062,25.399999618530273
2017-09-21,3631.040039,258.579987,249.38999938964844,122.68000030517578,125.83999633789062,92.26000213623047,66.86000061035156,25.459999084472656
2017-09-22,3630.6999509999996,264.309998,249.44000244140625,123.23999786376953,126.19999694824219,92.16999816894531,67.19999694824219,25.43000030517578
2017-09-25,3926.070068,292.332001,248.92999267578125,124.52999877929688,126.98999786376953,92.6500015258789,68.16999816894531,25.399999618530273
2017-09-26,3892.350098,287.43798799999996,249.0800018310547,123.13999938964844,126.76000213623047,92.97000122070312,68.13999938964844,25.389999389648438
2017-09-27,4200.669922,306.46701,250.0500030517578,121.9800033569336,124.8499984741211,93.36000061035156,68.43000030517578,25.700000762939453
2017-09-28,4174.72998,299.15499900000003,250.35000610351562,122.20999908447266,124.4800033569336,93.08999633789062,68.48999786376953,25.739999771118164
2017-09-29,4163.069824,291.46701,251.22999572753906,121.58000183105469,124.76000213623047,93.08000183105469,68.4800033569336,25.860000610351562
2017-10-02,4409.319824,297.475006,252.32000732421875,120.7699966430664,124.27999877929688,93.55999755859375,68.45999908447266,26.079999923706055
2017-10-03,4317.47998,292.463013,252.86000061035156,120.83000183105469,124.4000015258789,93.56999969482422,68.38999938964844,26.170000076293945
2017-10-04,4229.359863000001,292.65799,253.16000366210938,121.16999816894531,124.41000366210938,93.45999908447266,68.33999633789062,26.049999237060547
2017-10-05,4328.410156,295.863007,254.66000366210938,120.5199966430664,123.94000244140625,93.95999908447266,68.6500015258789,26.31999969482422
2017-10-06,4370.810059,308.588013,254.3699951171875,121.08999633789062,123.58999633789062,93.80000305175781,68.06999969482422,26.350000381469727
2017-10-09,4772.02002,297.391998,253.9499969482422,122.08000183105469,123.9800033569336,93.73999786376953,68.20999908447266,26.25
2017-10-10,4781.990234000001,299.869995,254.6199951171875,122.4000015258789,124.18000030517578,93.29000091552734,68.2699966430664,26.3700008392334
2017-10-11,4826.47998,303.455994,255.02000427246094,122.79000091552734,124.41999816894531,92.95999908447266,68.43000030517578,26.31999969482422
2017-10-12,5446.910156,304.135986,254.63999938964844,122.88999938964844,124.94999694824219,93.12000274658203,68.18000030517578,26.1200008392334
2017-10-13,5647.209961,338.75698900000003,254.9499969482422,123.81999969482422,125.8499984741211,93.08999633789062,68.13999938964844,26.1299991607666
2017-10-16,5725.589844,333.384003,255.2899932861328,122.97000122070312,125.76000213623047,93.27999877929688,68.29000091552734,26.299999237060547
2017-10-17,5605.509765999999,317.082001,255.47000122070312,122.12999725341797,125.91999816894531,93.48999786376953,68.33000183105469,26.170000076293945
2017-10-18,5590.689941,314.319,255.72000122070312,121.66999816894531,125.08999633789062,93.36000061035156,67.8499984741211,26.309999465942383
2017-10-19,5708.52002,308.088013,255.7899932861328,122.38999938964844,125.30999755859375,93.2699966430664,67.63999938964844,26.329999923706055
2017-10-20,6011.450195,304.006012,257.1099853515625,121.61000061035156,123.9800033569336,93.69999694824219,67.7699966430664,26.639999389648438
2017-10-23,5930.319824,286.950012,256.1099853515625,121.80000305175781,124.19999694824219,93.94000244140625,67.41999816894531,26.6200008392334
2017-10-24,5526.640136999999,298.32800299999997,256.55999755859375,121.33000183105469,123.43000030517578,93.95999908447266,67.55000305175781,26.809999465942383
2017-10-25,5750.799805,297.924988,255.2899932861328,121.3499984741211,122.83999633789062,93.70999908447266,67.08000183105469,26.649999618530273
2017-10-26,5904.830078,296.527008,255.6199951171875,120.33000183105469,122.43000030517578,94.61000061035156,67.22000122070312,26.799999237060547
2017-10-27,5780.899902,297.423004,257.7099914550781,120.9000015258789,123.23999786376953,94.91999816894531,67.33999633789062,26.780000686645508
2017-10-30,6130.529785,307.75100699999996,256.75,121.12999725341797,124.41999816894531,94.48999786376953,67.69000244140625,26.670000076293945
2017-10-31,6468.399902,305.878998,257.1499938964844,120.66999816894531,124.45999908447266,94.55000305175781,67.91000366210938,26.600000381469727
2017-11-01,6767.310059,291.694,257.489990234375,121.11000061035156,124.75,94.81999969482422,68.68000030517578,26.639999389648438
2017-11-02,7078.5,287.428986,257.5899963378906,121.19000244140625,125.30000305175781,94.69000244140625,68.4800033569336,26.889999389648438
2017-11-03,7207.759765999999,305.710999,258.45001220703125,120.62000274658203,125.63999938964844,94.94000244140625,68.68000030517578,26.780000686645508
2017-11-06,7022.759765999999,298.891998,258.8500061035156,121.6500015258789,126.11000061035156,94.72000122070312,70.25,26.75
2017-11-07,7144.379883,294.658997,258.6700134277344,121.20999908447266,126.63999938964844,94.91000366210938,70.16000366210938,26.3799991607666
2017-11-08,7459.689941,309.070007,259.1099853515625,121.62999725341797,126.36000061035156,94.87000274658203,69.81999969482422,26.25
2017-11-09,7143.580078,320.884003,258.1700134277344,122.12999725341797,126.0,94.44000244140625,70.02999877929688,26.15999984741211
2017-11-10,6618.140136999999,299.252991,258.0899963378906,121.12999725341797,124.0999984741211,94.38999938964844,69.66000366210938,26.079999923706055
2017-11-13,6559.490234000001,316.716003,258.3299865722656,121.30999755859375,124.36000061035156,94.48999786376953,69.26000213623047,26.1200008392334
2017-11-14,6635.75,337.631012,257.7300109863281,121.55999755859375,125.19999694824219,93.83000183105469,68.13999938964844,26.110000610351562
2017-11-15,7315.540039,333.35699500000004,256.44000244140625,121.41000366210938,126.55999755859375,93.80999755859375,67.37000274658203,26.18000030517578
2017-11-16,7871.689941,330.924011,258.6199951171875,121.4000015258789,125.45999908447266,93.93000030517578,67.0999984741211,26.190000534057617
2017-11-17,7708.990234000001,332.39401200000003,257.8599853515625,122.86000061035156,126.38999938964844,93.66000366210938,67.43000030517578,26.15999984741211
2017-11-20,8200.639648,366.730011,258.29998779296875,121.30999755859375,126.33999633789062,94.08000183105469,67.2699966430664,26.280000686645508
2017-11-21,8071.259765999999,360.40100099999995,259.989990234375,121.51000213623047,126.73999786376953,93.94999694824219,67.41999816894531,26.360000610351562
2017-11-22,8253.549805,380.652008,259.760009765625,122.62999725341797,127.1500015258789,93.22000122070312,67.69000244140625,26.229999542236328
2017-11-24,8253.69043,474.91101100000003,260.3599853515625,122.31999969482422,126.80000305175781,92.9000015258789,67.87999725341797,26.219999313354492
2017-11-27,9818.349609,480.35501100000005,260.2300109863281,122.83000183105469,126.62000274658203,92.9000015258789,67.19000244140625,26.200000762939453
2017-11-28,10058.799809999999,472.902008,262.8699951171875,122.80999755859375,126.79000091552734,93.26000213623047,67.70999908447266,26.8799991607666
2017-11-29,9888.610352,427.52300999999994,262.7099914550781,122.04000091552734,125.54000091552734,93.26000213623047,68.08000183105469,27.34000015258789
2017-11-30,10233.59961,447.11401399999994,265.010009765625,121.0999984741211,125.12000274658203,93.01000213623047,69.0999984741211,27.520000457763672
2017-12-01,10975.59961,466.540009,264.4599914550781,121.58999633789062,126.55000305175781,92.9000015258789,69.68000030517578,27.579999923706055
2017-12-04,11657.2002,470.20401,264.1400146484375,121.18000030517578,126.61000061035156,93.19000244140625,69.6500015258789,28.0
2017-12-05,11916.7002,463.28100599999993,263.19000244140625,120.31999969482422,127.23999786376953,93.37999725341797,69.3499984741211,27.850000381469727
2017-12-06,14291.5,428.588013,263.239990234375,120.06999969482422,127.68000030517578,93.61000061035156,68.44999694824219,27.75
2017-12-07,17899.69922,434.40799000000004,264.07000732421875,118.48999786376953,126.68000030517578,93.80000305175781,68.6500015258789,27.84000015258789
2017-12-08,16569.40039,456.03100599999993,265.510009765625,118.4800033569336,126.69000244140625,93.9000015258789,69.27999877929688,28.010000228881836
2017-12-11,16936.80078,515.135986,266.30999755859375,118.01000213623047,126.43000030517578,93.87000274658203,69.77999877929688,27.940000534057617
2017-12-12,17415.40039,651.43103,266.7799987792969,118.1500015258789,126.37999725341797,94.0999984741211,69.58999633789062,28.219999313354492
2017-12-13,16408.19922,702.767029,266.75,119.16999816894531,127.33000183105469,93.43000030517578,69.48999786376953,27.8700008392334
2017-12-14,16564.0,695.815979,265.6600036621094,118.93000030517578,127.87000274658203,93.48999786376953,69.23999786376953,27.690000534057617
2017-12-15,17706.90039,684.4479980000001,266.510009765625,119.18000030517578,128.35000610351562,93.93000030517578,68.72000122070312,27.809999465942383
2017-12-18,19114.19922,794.64502,268.20001220703125,119.7300033569336,127.18000030517578,93.69999694824219,69.25,28.059999465942383
2017-12-19,17776.69922,826.8229980000001,267.1700134277344,119.81999969482422,125.52999877929688,93.47000122070312,69.3499984741211,27.940000534057617
2017-12-20,16624.59961,819.085999,267.0299987792969,120.13999938964844,124.13999938964844,93.3499984741211,70.33000183105469,27.889999389648438
